Agglomeration_ID,agglosName,x,y,Pop2015,ISO3,Region,Between,degree
3229,Feriana,8.5482558,34.9345849,30292,TUN,North,63513.20976,2
1552,Bambey,-16.4526849,14.6928261,30266,SEN,West,429521.8641,3
558,al-Bughdadi,32.6217234,25.6488577,30254,EGY,North,684971.8915,1
8004,Shubra Babil,31.1431302,30.9418568,30223,EGY,North,5810851.811,2
8510,Tillaberi,1.4502216,14.2311192,30188,NER,West,44605.9851,2
2184,Bugarama,29.0311431,-2.706523,30169,BDI,East,44975.79851,2
7944,Sharuna,30.8188695,28.6295762,30141,EGY,North,654151.8055,1
2448,Chitipa,33.2724931,-9.7027086,30127,MWI,East,3409.044517,2
7405,Qardho,49.0860166,9.4976176,30100,SOM,East,2098.941156,2
4753,Kherrata,5.2774706,36.4869729,30063,DZA,North,476559.0113,2
3657,Gulak,13.4320234,10.7837505,30059,NGA,West,181664.6226,2
1930,Birine,3.2240954,35.6356267,30041,DZA,North,107579.2693,3
2686,Demnate,-7.0039789,31.733574,30016,MAR,North,30343.32546,2
1000053,road,28.2050589,-25.7367582,0,ZAF,South,0,3
1000139,road,16.6551848,-20.4650213,0,NAM,South,31616.90004,3
1000245,road,33.8432582,-19.2240814,0,MOZ,East,0,1
1000307,road,25.6287443,-33.9684052,0,ZAF,South,0,1
1000309,road,29.866046,-29.0439171,0,ZAF,South,976021.8401,3
1000311,road,25.3784822,-33.9397917,0,ZAF,South,324290.3557,3
1000312,road,25.2292811,-33.9095273,0,ZAF,South,324290.3557,3
1000313,road,28.1827508,-25.8240789,0,ZAF,South,11866302.03,4
1000314,road,28.1807122,-25.7967905,0,ZAF,South,0,3
1000319,road,28.2438074,-25.8298092,0,ZAF,South,16761505.68,4
1000507,road,27.8483079,-26.4481416,0,ZAF,South,9163797.478,3
1000508,road,27.8661528,-26.4335764,0,ZAF,South,0,1
1000509,road,28.2808533,-25.6846251,0,ZAF,South,4167234.589,3
1000517,road,28.8384783,-26.0424547,0,ZAF,South,2170203.398,3
1000518,road,28.711862,-26.0806281,0,ZAF,South,2170203.398,3
1000559,road,18.7380102,-34.0432265,0,ZAF,South,0,3
1000567,road,18.7737227,-34.0584048,0,ZAF,South,0,3
1000588,road,28.1837293,-25.838411,0,ZAF,South,11866302.03,3
1000607,road,18.7258877,-33.8385601,0,ZAF,South,2684463.613,4
1000612,road,18.8706218,-33.7984726,0,ZAF,South,2898777.09,4
1000697,road,28.1870221,-26.3169447,0,ZAF,South,1496389.906,3
1000701,road,28.4975119,-26.8696093,0,ZAF,South,12009.87166,3
1000702,road,28.5552478,-26.9306755,0,ZAF,South,0,1
1000703,road,29.6340697,-28.6779056,0,ZAF,South,976021.8401,3
1000705,road,30.4277006,-29.6434302,0,ZAF,South,4631766.339,3
1000711,road,28.3104452,-26.1815883,0,ZAF,South,3957876.116,5
1000761,road,28.1916033,-25.7818521,0,ZAF,South,0,4
1000767,road,28.256557,-25.7414172,0,ZAF,South,4101728.56,3
1000768,road,28.27675,-25.7406688,0,ZAF,South,0,3
1000769,road,28.671946,-25.8016842,0,ZAF,South,1646198.741,3
1000772,road,31.2215941,-29.4864317,0,ZAF,South,1793591.608,3
1000773,road,27.7189015,-26.6713233,0,ZAF,South,403641.4693,3
1000778,road,27.7868305,-26.5986447,0,ZAF,South,2603529.397,3
1000782,road,27.7451745,-26.6472601,0,ZAF,South,403641.4693,3
1000783,road,18.957486,-33.7759236,0,ZAF,South,2898777.09,3
1000789,road,18.9735379,-33.7640557,0,ZAF,South,3287198.568,4
1000823,road,7.2546393,8.9565473,0,NGA,West,600252.5441,3
1000828,road,7.2390244,8.963631,0,NGA,West,98297.07677,4
1000863,road,25.6348935,-33.8525389,0,ZAF,South,232741.4839,3
1000998,road,29.3565591,-25.8702087,0,ZAF,South,1446086.472,3
1001018,road,28.8613693,-26.0331053,0,ZAF,South,2170203.398,3
1001050,road,28.282395,-25.5713277,0,ZAF,South,2044713.014,3
1001145,road,30.5899011,-29.7326176,0,ZAF,South,4631766.339,3
1001157,road,18.7173812,-33.4656109,0,ZAF,South,525442.8969,4
1001196,road,27.6826917,-26.7387376,0,ZAF,South,403641.4693,3
1001202,road,27.6403343,-26.8433538,0,ZAF,South,403641.4693,4
1001230,road,3.5116096,36.7266607,0,DZA,North,2387290.822,3
1001231,road,28.112598,-26.313733,0,ZAF,South,4563820.921,3
1001245,road,10.3661761,36.6457058,0,TUN,North,3545409.358,3
1001249,road,28.1547759,-26.2912703,0,ZAF,South,1105253.901,3
1001256,road,28.1714391,-26.3059116,0,ZAF,South,1496389.906,3
1001258,road,28.357164,-26.4795885,0,ZAF,South,842892.4795,4
1001284,road,29.6081033,-28.5799736,0,ZAF,South,1005047.787,3
1001287,road,27.9453057,-26.3043519,0,ZAF,South,10620990.64,3
1001290,road,27.9373352,-26.3280477,0,ZAF,South,10620990.64,3
1001315,road,22.0992693,-34.146161,0,ZAF,South,672426.0305,3
1001318,road,22.0672781,-34.1747423,0,ZAF,South,371454.6113,3
1001407,road,13.0627604,32.8426669,0,LBY,North,83140.03854,5
1001408,road,13.0892038,32.8428128,0,LBY,North,83140.03854,3
1001412,road,13.1346515,32.8658433,0,LBY,North,83140.03854,5
1001548,road,10.4360763,36.0031765,0,TUN,North,2034974.097,5
1001733,road,2.5929412,36.4467693,0,DZA,North,4110636.972,4
1001736,road,28.3146882,-26.2540906,0,ZAF,South,1915613.169,6
1001819,road,3.8933658,36.7516499,0,DZA,North,2164448.32,3
1001822,road,3.9500618,36.737621,0,DZA,North,2271085.774,3
1001823,road,4.0099991,36.7408256,0,DZA,North,742922.5531,5
1001847,road,10.0784071,36.948574,0,TUN,North,1544758.634,3
1001896,road,28.3258572,-26.1777563,0,ZAF,South,2170203.398,4
1001979,road,30.818636,-29.8268603,0,ZAF,South,0,3
