"from","to","l","h","time","timeU","timeUCB","border"
"2896","1002437",2.48455193260449,"motorway",1.49073115956269,24.2096904471514,24.2096904471514,0
"2896","1002445",3.49208732966155,"motorway",2.09525239779693,24.8142116853856,24.8142116853856,0
"2896","1002550",4.67209424732102,"motorway",2.80325654839261,25.5222158359813,25.5222158359813,0
"2896","1056612",5.00195805749551,"primary",7.50293708624326,30.2218963738319,30.2218963738319,0
"2896","1056701",0.0462314323994686,"primary",0.0693471485992029,22.7883064361879,22.7883064361879,0
"2896","1062992",0.98985473870814,"primary",1.48478210806221,24.2037413956509,24.2037413956509,0
"2896","1074565",2.64082595106311,"primary",3.96123892659467,26.6801982141833,26.6801982141833,0
"5254","4400",1.73048196203326,"motorway",1.03828917721996,27.1609251283816,27.1609251283816,0
"5254","4220",2.22068903139772,"motorway",1.33241341883863,109.468182843186,109.468182843186,0
"5254","1001231",1.68465243321608,"motorway",1.01079145992965,13.0319302486542,13.0319302486542,0
"5254","1001287",0.737241080202295,"motorway",0.442344648121377,12.4634834368459,12.4634834368459,0
"5254","1057345",2.71800915182978,"primary",4.07701372774468,16.0981525164692,16.0981525164692,0
"5254","1058856",5.26723862146994,"primary",7.90085793220491,19.9219967209295,19.9219967209295,0
"5254","1058857",2.72280155845471,"primary",4.08420233768207,16.1053411264066,16.1053411264066,0
"5254","1305209",0.736745384353686,"trunk",0.736745384353686,12.7578841730782,12.7578841730782,0
"5254","1307437",0.93357294678316,"trunk",0.93357294678316,12.9547117355077,12.9547117355077,0
"4400","4220",1.00101693558226,"motorway",0.600610161349358,110.816737959409,110.816737959409,0
"4400","1059957",5.32927273791332,"primary",7.99390910686998,22.0954062693071,22.0954062693071,0
"4400","1061607",9.74307627530447,"trunk",9.74307627530447,23.8445734377416,23.8445734377416,0
"4400","1217337",2.45431396686701,"primary",3.68147095030051,17.7829681127376,17.7829681127376,0
"3162","4220",0.938140934937813,"motorway",0.562884560962688,110.890967353687,110.890967353687,0
"3162","1000319",17.3471840523136,"motorway",10.4083104313882,24.62176258849,24.62176258849,0
"3162","1000711",4.2606310587577,"primary",6.39094658813655,20.6043987452384,20.6043987452384,0
"3162","1006117",2.65707923720247,"motorway",1.59424754232148,15.8076996994233,15.8076996994233,0
"3162","1054077",10.8119184155077,"primary",16.2178776232616,30.4313297803634,30.4313297803634,0
